"","totalReads","V2","V3","editing"
"1241-1",274649,1390,6612,0.0291353691438891
"1241-2",210037,1338,5854,0.0342415860062751
"1241-3",308261,1631,8108,0.0315933575768586
"1242-1",276564,2624,13894,0.0597257777584935
"1242-2",205104,2589,11191,0.0671854278804899
"1242-3",276848,3297,15297,0.0671632086921343
"1243-1",271318,1352,5324,0.0246058131049175
"1243-2",222622,1345,5699,0.0316410777012155
"1243-3",279860,1716,6938,0.0309226041592225
"1244-1",258091,879,3413,0.0166297933674557
"1244-2",320165,1263,5286,0.0204550778504833
"1244-3",262396,990,4175,0.0196839890851995
"1245-1",320269,988,472,0.00455866786982193
"1245-2",267747,1012,280,0.00482545089207349
"1245-3",244683,911,383,0.00528847529252134
"1246-1",274701,2606,12948,0.0566215630813139
"1246-2",319999,3460,17799,0.0664345826080707
"1246-3",286219,3210,15463,0.0652402530929114
"1247-1",322578,6102,32689,0.120253086075306
"1247-2",283855,7067,37815,0.158115939476141
"1247-3",452944,10290,61653,0.158834204669893
"1248-1",216684,1785,8665,0.048226911077883
"1248-2",305965,2742,14063,0.0549245828771265
"1248-3",288993,2545,11907,0.0500081316848505
"1249-1",238924,1404,6430,0.0327886692002478
"1249-2",331501,2198,11328,0.0408022901891699
"1249-3",301682,1936,9703,0.0385803594513428
"1250-1",356506,1892,549,0.00684700958749642
"1250-2",331221,1835,377,0.00667832051711697
"1250-3",319408,1685,432,0.00662788659019185
"1251-1",276307,1578,8319,0.0358188536663928
"1251-2",314099,1828,9484,0.0360141229357623
"1251-3",239921,1427,7116,0.0356075541532421
"1252-1",311520,8537,52832,0.196998587570621
"1252-2",237465,6521,38426,0.189278419977681
"1252-3",284973,5869,36172,0.147526256873458
"1253-1",247747,1884,7582,0.0382083335015157
"1253-2",190203,1450,5652,0.0373390535375362
"1253-3",247313,1341,7236,0.0346807486868867
"1254-1",260274,1510,6593,0.0311325756702552
"1254-2",195339,1190,4268,0.0279411689421979
"1254-3",211770,1125,4410,0.0261368465788355
"1255-1",357512,40336,381,0.113889883416501
"1255-2",229384,27831,273,0.122519443378788
"1255-3",258764,25682,601,0.101571315948123
"1256-1",186804,2189,13611,0.0845806299650971
"1256-2",194735,1407,6129,0.0386987444475826
"1256-3",326870,1590,9415,0.0336678190106158
"1257-1",294938,9492,59906,0.235296909859021
"1257-2",225097,7249,41534,0.216719902975162
"1257-3",321729,9201,60621,0.217021157558069
"1258-1",381585,2080,9340,0.0299278011452232
"1258-2",198645,1104,4842,0.029932794683984
"1258-3",266790,1481,6126,0.0285130627084973
"1259-1",298620,1348,5225,0.0220112517580872
"1259-2",218536,963,3661,0.0211589852472819
"1259-3",359057,1296,5455,0.0188020286472621
"1260-1",281025,40698,3041,0.155640957210213
"1260-2",233112,36392,2191,0.165512714918151
"1260-3",260689,38156,2503,0.155967455473764
